ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
133.2107391,146.2646637,142.7407379,138.9620361,0.090318449,0.05367706,0.070346005,0.087192565,17,9,17,9
139.9509888,136.674942,130.2057495,145.6350555,0.09025161,0.053630602,0.0702774,0.086718962,17,9,26,9
131.4376221,147.3621521,141.7048035,142.4219055,0.091392696,0.053714342,0.07026571,0.086381264,19,9,18,9
136.8523254,148.423584,143.1472778,140.0541229,0.092159487,0.053927451,0.069393128,0.085238442,13,9,19,9
140.7572021,143.8755188,139.5945282,142.0658722,0.092573881,0.054050818,0.069551714,0.084599577,15,9,17,10
141.6552429,146.4107819,-73.79018402,138.2956696,0.092945591,0.054238267,0.070572741,0.083393194,17,9,34,9
138.7547455,147.8742065,-56.48186874,141.5548553,0.092880726,0.054552495,0.070282951,0.082109571,16,9,33,9
141.6412354,133.6523285,129.116272,135.6867523,0.091793686,0.054916129,0.069589436,0.081182264,17,13,22,9
138.518219,148.0240936,144.7297668,141.243103,0.092262164,0.055300601,0.069033168,0.080533393,14,9,17,12
143.9702759,142.161499,132.4890137,138.2555084,0.094164558,0.055484056,0.069002308,0.079728752,13,9,17,10
137.8760834,143.6976776,132.7329102,138.6995697,0.095302366,0.055490509,0.068693399,0.079245232,14,9,19,9
130.0870056,142.1593628,125.5499268,138.1690979,0.09645623,0.055497199,0.068284124,0.078823477,17,9,28,10
129.3667755,138.9907379,138.2740631,130.5613556,0.097535819,0.055650271,0.068088718,0.078389339,15,9,16,18
141.5887451,147.6334991,135.4345703,146.3694916,0.09868966,0.055691186,0.067746006,0.078172803,15,9,17,11
134.440094,145.8136292,138.4915924,143.1800232,0.099359222,0.055669714,0.067707211,0.077858098,17,9,21,10
136.2175598,138.4357605,130.4555664,137.6557007,0.100362867,0.055886574,0.067758806,0.077728681,13,9,17,10
135.1371765,142.1194,134.8963013,138.1321716,0.10126058,0.055896811,0.067693695,0.077539213,12,9,15,11
129.5828857,145.8957672,142.6402435,143.1688538,0.101892166,0.055831965,0.068018317,0.07746765,15,9,16,9
138.8181,148.1197205,140.4877625,142.3946838,0.102937698,0.055772319,0.068602592,0.077142604,10,9,15,9
140.1970978,146.6397095,140.3965302,138.8189545,0.104121998,0.056226142,0.069591969,0.076539695,12,9,17,10
128.2456818,145.6339569,136.9374084,142.4480896,0.104337506,0.056531589,0.069686584,0.076431081,21,9,18,9
136.0044403,146.7339783,131.1231995,144.0945892,0.105629899,0.056546189,0.070665076,0.076298386,14,9,20,10
132.8352509,142.1251984,119.6628799,143.6911163,0.106524967,0.05646738,0.071314141,0.075837746,14,9,30,11
132.3283234,132.0176086,-28.15385818,142.169342,0.106337883,0.0565763,0.071855508,0.075577378,13,16,50,9
142.9037628,143.8981934,129.3281555,140.5352173,0.106287368,0.056625608,0.071345553,0.075276874,11,9,24,10
